
Name                                        PackageFullName                                                            
Microsoft.NET.Native.Framework.1.6          Microsoft.NET.Native.Framework.1.6_1.6.27413.0_x64__8wekyb3d8bbwe          
Microsoft.NET.Native.Framework.1.6          Microsoft.NET.Native.Framework.1.6_1.6.27413.0_x86__8wekyb3d8bbwe          
Microsoft.Getstarted                        Microsoft.Getstarted_6.15.12641.0_x64__8wekyb3d8bbwe                       
Microsoft.WindowsCalculator                 Microsoft.WindowsCalculator_10.1804.11545.0_x64__8wekyb3d8bbwe             
Microsoft.WindowsFeedbackHub                Microsoft.WindowsFeedbackHub_1.1907.3152.0_x64__8wekyb3d8bbwe              
Microsoft.SkypeApp                          Microsoft.SkypeApp_14.56.102.0_x64__kzf8qxf38zg5c                          
Microsoft.VCLibs.140.00.UWPDesktop          Microsoft.VCLibs.140.00.UWPDesktop_14.0.27810.0_x64__8wekyb3d8bbwe         
Microsoft.VCLibs.140.00.UWPDesktop          Microsoft.VCLibs.140.00.UWPDesktop_14.0.27810.0_x86__8wekyb3d8bbwe         
Microsoft.XboxApp                           Microsoft.XboxApp_48.62.6002.0_x64__8wekyb3d8bbwe                          
Microsoft.DesktopAppInstaller               Microsoft.DesktopAppInstaller_1.0.32912.0_x64__8wekyb3d8bbwe               
Microsoft.OneConnect                        Microsoft.OneConnect_3.1811.3082.0_x64__8wekyb3d8bbwe                      
Microsoft.WindowsAlarms                     Microsoft.WindowsAlarms_10.1804.1101.1000_x64__8wekyb3d8bbwe               
Microsoft.WindowsSoundRecorder              Microsoft.WindowsSoundRecorder_10.1804.911.1000_x64__8wekyb3d8bbwe         
Microsoft.Services.Store.Engagement         Microsoft.Services.Store.Engagement_10.0.19011.0_x64__8wekyb3d8bbwe        
Microsoft.Services.Store.Engagement         Microsoft.Services.Store.Engagement_10.0.19011.0_x86__8wekyb3d8bbwe        
Microsoft.MicrosoftStickyNotes              Microsoft.MicrosoftStickyNotes_2.1.18.0_x64__8wekyb3d8bbwe                 
Microsoft.ZuneVideo                         Microsoft.ZuneVideo_10.20022.11011.0_x64__8wekyb3d8bbwe                    
Microsoft.WindowsCamera                     Microsoft.WindowsCamera_2019.124.60.0_x64__8wekyb3d8bbwe                   
Microsoft.ZuneMusic                         Microsoft.ZuneMusic_10.20022.11011.0_x64__8wekyb3d8bbwe                    
Microsoft.Advertising.Xaml                  Microsoft.Advertising.Xaml_10.1811.1.0_x86__8wekyb3d8bbwe                  
Microsoft.Advertising.Xaml                  Microsoft.Advertising.Xaml_10.1811.1.0_x64__8wekyb3d8bbwe                  
Microsoft.UI.Xaml.2.1                       Microsoft.UI.Xaml.2.1_2.11906.6001.0_x64__8wekyb3d8bbwe                    
Microsoft.UI.Xaml.2.1                       Microsoft.UI.Xaml.2.1_2.11906.6001.0_x86__8wekyb3d8bbwe                    
Microsoft.StorePurchaseApp                  Microsoft.StorePurchaseApp_12004.1001.1.0_x64__8wekyb3d8bbwe               


